# English-German dictionary created from English Wiktionary
# Created on: 2010-10-07T23:21:21+02:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
-ible	-bar
ninety-three	dreiundneunzig
ninety-two	zweiundneunzig
ninth	neunte
niobium	Niob
nipple	Nippel
nit	Nisse
nitrogen	Stickstoff
no	nein
no	verboten
no	kein
no	Nein
no one	niemand
no smoking	Rauchen verboten
no.	Nr.
nobelium	Nobelium
noble	nobel
nobody	niemand
nocturnal	nächtlich
noise	Lärm
nominative	Nominativ
nominative case	Nominativ
none	niemand
none	keine
nonsense	Blödsinn
noodle	Nudel
noon	Mittag
normal	normal
north	Norden
north	nordwärts
nose	Nase
nostril	Nasenloch
not	nicht
note	Notiz
nothing	nichts
notify	mitteilen
noun	Substantiv
novel	Roman
novelist	Novelist
novelty	Neuheit
now	jetzt
nowadays	heute
nowhere	nirgendwo
nude	nackt
nudity	Nacktheit
numb	taub
number	Anzahl
number	Nummer
number	nummerieren
number	Zahl
numeral	Zahl
numerous	zahlreich
nun	Nonne
nurse	Krankenschwester
nurse	Kinderfrau
nut	Nuss
nut	Mutter
nut	Irre
nut	Ei
nutmeg	Muskat
nutritional	Ernährungs-
o'clock	um ein Uhr
oak	Eiche
oar	Ruder
oasis	Oase
oat	Hafer
oath	Eid
obedience	Gehorsam
obedient	gehorsam
obese	fettleibig
object	Objekt
object	dagegen sein
objection	Einwand
objective	Ziel
oblivion	Vergessenheit
oboe	Oboe
obscure	obskur
observatory	Observatorium
observe	beobachten
obsession	Besessenheit
obstacle	Hindernis
obtain	erlangen
obvious	offensichtlich
occasion	Gelegenheit
occasional	gelegentlich
occasionally	gelegentlich
occupation	Beschäftigung
occurrence	Vorfall
ocean	Ozean
octagon	Achteck
octopus	Oktopus
odd	seltsam
odd	ungerade
odour	Geruch
oesophagus	Ösophagus
of	von
of	aus
of course	selbstverständlich
offer	anbieten
office	Büro
office	Amt
officer	Offizier
often	häufig
oh my God	mein Gott
ohm	Ohm
oil	Öl
oil	ölen
oil	mit
old	alt
old man	Greis
olive	Olive
olive tree	Olivenbaum
omelette	Omelett
omission	Unterlassung
on	auf
on	an
on	über
on	von
once	einmal
once	als
once	früher
once upon a time	es war einmal
one	Eins
one	man
oneself	selbst
onion	Zwiebel
only	einzig
only	aber
onomatopoeia	Onomatopoese
onward	vorwärts
onyx	Onyx
open	öffnen
open	auf
open	offen
open	öffnete
open	öffentlich
operate	operieren
operating system	Betriebssystem
operation	Betrieb
operation	Operation
opinion	Meinung
opossum	Beutelratte
opportunity	Gelegenheit
opposite	gegenüberliegend
oppress	unterdrücken
or	oder
or	golden
oral	oral
orange	Apfelsine
orange	Apfelsinenbaum
orange	Orange
orange	orange
orbit	Umlaufbahn
orca	Schwertwal
orchestra	Orchester
orchid	Orchidee
order	Ordnung
order	Order
order	befehlen
order	Orden
order	Bestellung
order	bestellen
order	ordnen
ordered pair	geordnetes Paar
ordinary	gewöhnlich
ore	Erz
organ	Orgel
organ	Organ
organism	Organismus
organization	Organisation
orgasm	Orgasmus
origin	Ursprung
original	original
ornament	Verzierung
orphan	Waise
orthoclase	Orthoklas
osmium	Osmium
osprey	Fischadler
ostensible	scheinbar
ostrich	Strauß
other	andere
otter	Otter
ouch	au
ounce	Unze
our	unser
ourselves	wir selbst
out	usually expressed by the prefix aus-
oven	Ofen
over	über
over	vorbei
overcome	überwinden
overmorrow	Übermorgen
owe	schulden
owl	Eule
own	eigen
own	besitzen
own	schlagen
owner	Besitzer
ox	Ochse
oxygen	Sauerstoff
oyster	Auster
package	Paket
padlock	Vorhängeschloß
page	Seite
pagoda	Pagode
pain	Schmerz
paint	Farbe
paint	malen
paint	bemalen
painter	Maler
pair	Paar
pair of compasses	Zirkel
palace	Palast
palaeolithic	Altsteinzeit
palate	Gaumen
pale	hell
palimpsest	Palimpsest
palindrome	Palindrom
palladium	Palladium
palm	Palme
palm	Handfläche
pancake	Pfannkuchen
pancreas	Bauchspeicheldrüse
panda	Panda
pandeism	Pandeismus
panentheism	Panentheismus
pantheism	Pantheismus
pants	Hose
pants	Unterhose
paper	Papier
paper	''indicated by forming compounds with'' Papier-: '''paper bag:''' Papierbeutel
parabola	Parabel
parachute	Fallschirm
parade	Parade
paradise	Paradies
paradox	Paradox
paragliding	Gleitschirmfliegen
parallel	parallel
paralysis	Paralyse
pardon me	Entschuldigung
parent	Elternteil
parents	Eltern
park	Park
park	parken
parliament	Parlament
parrot	Papagei
parrot	nachplappern
parsley	Petersilie
part	Teil
part	Rolle
partake	teilnehmen
participant	Teilnehmer
participate	teilnehmen
participle	Partizip
partridge	Rebhuhn
party	Partei
party	Party
pasha	Pascha
passenger	Passagier
passport	Pass
past	Vergangenheit
past tense	Vergangenheit
pasta	Teigwaren
paternal grandmother	Großmutter väterlicherseits
path	Pfad
patience	Geduld
patient	Patient
patient	geduldig
pause	Pause
pavement	Bürgersteig
pavement	Asphalt
paw	Pfote
pawn	Bauer
pay	bezahlen
payment	Bezahlung
pea	Erbse
peace	Frieden
peace	Ruhe
peach	Pfirsich
peach	Pfirsichbaum
peacock	Pfau
peak	Gipfel
peanut	Erdnuß
pear	Birne
pear	Birnbaum
pearl	Perle
peat	Torf
pederast	Päderast
pederasty	Päderastie
pedestrian	Fußgänger
peel	Schale
pejorative	Pejorativum
pelican	Pelikan
pen	Füllhalter
penalty	Strafe
pencil	(non-colored) Bleistift
penetrate	durchdringen
penguin	Pinguin
peninsula	Halbinsel
penis	Penis
penny	Penny
pentagon	Fünfeck
penultimate	vorletzt
people	Leute
people	Volk
people	Familie
pepper	Pfeffer
pepper	(''spicy'') Chili
percent	Prozent
perch	Barsch
peregrine falcon	Wanderfalke
perestroika	Perestroika
perfect	perfekt
perfume	Parfüm
perfume	Duft
perfume	parfümieren
perhaps	vielleicht
perineum	Perineum
periodic table	Periodensystem
permanent	beständig
permission	Erlaubnis
perpendicular	rechtwinklig
perseverance	Beharrlichkeit
persist	beharren
person	Person
personal	persönlich
personal pronoun	Personalpronomen
personality	Persönlichkeit
perspiration	Schweiß
persuade	überreden
petrol	Benzin
pharaoh	Pharao
pharmacy	Apotheke
pharynx	Pharynx
pheasant	Fasan
philosopher	Philosoph
philosopher's stone	Stein der Weisen
philosophy	Philosophie
phobia	Phobie
phoenix	Phönix
phone	Telefon
phone	anrufen
phonetics	Phonetik
phosphorus	Phosphor
photograph	Fotografie
photograph	fotografieren
photon	Photon
photosynthesis	Photosynthese
phrase	Redewendung
physical	physisch
physician	Arzt
physics	Physik
physiology	Physiologie
pi	Pi
pianist	Pianist
piano	Klavier
pickpocket	Taschendieb
picture	Foto
picture	Bild
picture	Kino
pie	Torte
piece	Stück
pier	Pier
pig	Schwein
pigeon	Taube
piglet	Ferkel
pigment	Farbstoff
pigsty	Saustall
pike	Hecht
pile	Haufen
pillar	Pfeiler
pillow	Kopfkissen
pilot	Pilot
pimp	Zuhälter
pimple	Pickel
pin	Stecknadel
pine	Föhre
pineal gland	Zirbeldrüse
pineapple	Ananas
ping pong	Tischtennis
pink	pink, rosa
pink	rosa
pipe	Pfeife
pipe	Rohr
piranha	Piranha
pirate	Pirat
piss	Urin
piss	urinieren
pistachio	Pistazie
pistol	Pistole
pit	Grube
pitch	Pech
pity	Mitleid
pixel	Pixel
pizza	Pizza
place	Platz
place	stellen
plague	Plage
plain	schlicht
plaintiff	Kläger
plan	planen
plan	Plan
plane	Hobel
plane	Ebene
plane	Flugzeug
plane	hobeln
plane	Platane
planet	Planet
plant	Pflanze
plant	pflanzen
plant	Fabrik
plantation	Plantage
plastic	Plastik
plate	Teller
platform	Plattform
platform	Bahnsteig
platinum	Platin
platypus	Schnabeltier
play	spielen
play	Spiel
play	Schauspiel
playing card	Spielkarte
pleasant	angenehm
please	bitte
please	gefallen
pleasure	Vergnügen
pledge	Pfand
plenty	Fülle
pliers	Zange
plough	Pflug
plough	pflügen
plow	Pflug
plow	pflügen
plum	Pflaume
plumber	Klempner
plural	Plural
plural	Plural-, pluralisch
plus	plus
plutonium	Plutonium
pocket	Tasche
poem	Gedicht
poem	Dichtung
poet	Poet
poetry	Poesie
point	Punkt
poison	Gift
poison	vergiften
poisonous	giftig
polar bear	Eisbär
pole	Stab
pole	Pol
polecat	Iltis
police	Polizei
police officer	Polizist
police station	Polizeiwache
policeman	Polizist
policy	Politik
polish	polieren
polish	Politur
polite	höflich
politician	Politiker
politics	Politik
pollen	Blütenstaub
pollution	Umweltverschmutzung
polonium	Polonium
polyamory	Polyamory
polygon	Vieleck
polysynthetic	polysynthetisch
polytheism	Polytheismus
pomegranate	Granatapfel
pond	Teich
poor	arm
poor	armselig
popcorn	Popcorn
pope	Papst
poplar	Pappel
poppy	Mohn
popular	beliebt
population	Bevölkerung
porcelain	Porzellan
porcupine	Stachelschwein
pork	Schweinefleisch
pornography	Pornografie
porpoise	Tümmler
port	Hafen
port	Hafenstadt
portion	Teil
portmanteau	Koffer
position	Stellung
positive	positiv
possess	besitzen
possessive	Genitiv
possessive case	Genitiv
possessive pronoun	besitzanzeigende Fürwort
possibility	Möglichkeit
possible	möglich
post office	Postamt
postage stamp	Briefmarke
postcard	Postkarte
postpone	verschieben
pot	Topf
potable	trinkbar
potassium	Kalium
potato	Kartoffel
potter	Töpfer
pouch	Beutel
pound	Pfund
pour	gießen
poverty	Armut
powder	Puder
power	Kraft
power	Macht
power	Leistung
power	Potenz
power	Strom
power set	Potenzmenge
practice	Übung
pragmatic	pragmatisch
prairie dog	Präriehund
praise	loben
prank	Streich
pray	beten
prayer	Gebet
pre-ejaculate	Lusttropfen
precious	kostbar
precise	präzise
predicate	Prädikat
predict	vorhersagen
prefer	vorziehen
prefix	Präfix
pregnancy	Schwangerschaft
pregnant	schwanger
prejudice	Vorurteil
prepare	vorbereiten
preposition	Präposition
prepuce	Präputium
prescription	Rezept
presence	Anwesenheit
present	präsentieren
present	Geschenk
present	gegenwärtig
present	Gegenwart
present	anwesend
president	Präsident
press	drücken
pressure	Druck
pretend	vorgeben
pretty	hübsch
prevent	verhindern
previous	vorhergehend
price	Preis
pride	Stolz
priest	Priester
primary	primär
prime minister	Premierminister
prime number	Primzahl
primitive	ursprünglich
princess	Fürstin
principal	hauptsächlich
principle	Prinzip
print	drucken
printer	Drucker
prison	Gefängnis
prisoner of war	Kriegsgefangene
privacy	Zurückgezogenheit
private	privat
privilege	Privileg
prize	Preis
probably	wahrscheinlich
problem	Problem
problem	Übung
procedure	Prozedur
process	Prozess
produce	produzieren
product	Produkt
profession	Beruf
professor	Professor
profit	Gewinn
programming language	Programmiersprache
progress	Fortschritt
prohibit	verbieten
project	Projekt
promethium	Promethium
prominent	prominent
promise	Versprechen
promise	versprechen
promote	befördern
pronoun	Pronomen
pronounce	aussprechen
pronunciation	Aussprache
proof	Beweis
propaganda	Propaganda
proper	angemessen
proper noun	Eigenname
property	Eigentum
property	Anwesen
property	Eigenschaft
propose	vorschlagen
prosthesis	Prothese
prostitute	Prostituierte
protect	schützen
protection	Schutz
protest	demonstrieren
proton	Proton
prototype	Prototyp
proud	stolz
proverb	Sprichwort
provide	versehen
province	Provinz
pseudonym	Pseudonym
psychiatrist	Psychiater
psychologist	Psychologe
psychology	Psychologie
psychopolitics	Psychopolitik
pub	Kneipe
public	öffentlich
public	Publikum
publish	herausgeben
puck	Eishockeyscheibe
pull	ziehen
pulse	Puls
pump	Pumpe
pumpkin	Kürbis
pun	Witz
punish	bestrafen
pupil	Schüler
puppet	Handpuppe
puppy	Welpe
pure	rein
purple	purpur
purpose	Zweck
purpure	Purpur
purse	Geldbörse
pursue	verfolgen
pus	Eiter
push	drücken
pussy	Fotze
pussy	Muschi
pussy	eitrig
puzzle	Rätsel
pylon	Mast
pyramid	Pyramide
pyre	Scheiterhaufen
python	Python
quackery	Quacksalberei
quadrilateral	Viereck
quail	Wachtel
quality	Qualität
quality	hochklassig
quantization	Quantisierung
quark	Quark
quarter	Viertel
quarter	Quartal
quartz	Quarz
quay	Kai
queen	Königin
queen	Dame
queer	Homosexueller
question	Frage
queue	Wartezimmer
quick	schnell
quickly	schnell
quicksand	Treibsand
quidditch	Quidditch
quiet	still
quiet	ruhig
quit	aufhören
quit	aufgeben
quit	verlassen
quiver	Köcher
quotation	Zitat
quotation mark	Anführungszeichen
rabbi	Rabbiner
rabbit	Kaninchen
rabies	Tollwut
raccoon	Waschbär
race	Rennen
racism	Rassismus
radiation	Strahlung
radio	Radio
radio	Funk
radish	Radieschen
radium	Radium
radius	Halbmesser
radius	Radius
radon	Radon
rage	Wut
railroad	Eisenbahn
rain	Regen
rain	regnen
rain cats and dogs	Bindfäden regnen
rainbow	Regenbogen
rainbow trout	Regenbogenforelle
raise	heben
raisin	Rosine
rake	Rechen
ram	(1) Schafbock
rape	Vergewaltigung
rape	vergewaltigen
rapid	schnell
rare	selten
raspberry	Himbeere
rat	Ratte
rattlesnake	Klapperschlange
raven	Rabe
ravine	Schlucht
raw	roh
raw material	Rohmaterial
ray	Strahl
ray	Rochen
razor	Rasiermesser
reaction	Reaktion
read	vorlesen
read	lesen
ready	fertig
ready	bereit
real	wahr
real	real
realism	Realismus
reality	Wirklichkeit
realize	erkennen
realize	realisieren
really	wirklich
realm	Reich
reason	Verstand
reason	Ursache
rebel	rebellieren
rebel	Rebell
rebellion	Rebellion
receipt	Empfangsbestätigung
receive	bekommen
receive	empfangen
recent	jüngst
reception	Empfang
recipe	Rezept
recognize	erkennen
recommend	empfehlen
record	Rekord
record	eintragen
recreation	Erholung
rectangle	Rechteck
red	Rot
red	rot
red deer	Rothirsch
red wine	Rotwein
redshift	Rotverschiebung
reed	Schilf
refer	verweisen
referee	Schiedsrichter
reflect	widerspiegeln
refresh	erfrischen
refrigerator	Kühlschrank
refugee	Flüchtling
refuse	sich weigern
regime change	Regimeänderung
region	Gegend
register	registrieren
regret	bedauern
regret	Reue
regular	regulär
regulate	regeln
regulation	Regelung
rein	Zügel
reindeer	Rentier
reinforce	verstärken
reject	verwerfen
relation	Relation
relationship	Verwandtschaft
relative	Verwandte
relative	verwandt
relativity	Relativität
release	loslassen
relief	Erleichterung
religion	Religion
rely	verlassen auf
remain	bleiben
remark	Bemerkung
remember	sich erinnern
remember	sich merken
remind	erinnern
remote	abgelegen
remove	entfernen
rent	mieten
repair	Reparatur
repair	reparieren
repeat	wiederholen
replace	ersetzen
report	Bericht
report	berichten
represent	darstellen
representative	Repräsentant
reptile	Kriechtier
republic	Republik
reputation	Ansehen
request	Bitte
requirement	Anforderung
rescue	retten
resemble	gleichen
reserve	Reservieren
reserve	reservieren
residence	Wohnsitz
resign	zurücktreten
resistance	Widerstand
resistor	Widerstand
resolve	auflösen
resource	Hilfsmittel
respect	Achtung
responsibility	Verantwortung
rest	ruhen
rest	Rest
restaurant	Restaurant
restrict	beschränken
result	Resultat
retreat	sich
reveal	enthüllen
revenge	Rache
revolution	Revolution
reward	Belohnung
rhinoceros	Nashorn
rhodium	Rhodium
rhombus	'''Rhombus'''
rhubarb	Rhabarber
rib	Rippe
rice	Reis
rich	reich
ride	reiten
ride	fahren
rider	Reiter
ridiculous	lächerlich
rifle	Gewehr
right	rechts
right	richtig
right	Recht
right	Rechte
right	gerade
right	berichtigen
right	rechtwinklig
right triangle	rechtwinkliges Dreieck
rigid	steif
ring	Ring
ring	läuten
ring finger	Ringfinger
ring tone	Klingelton
ripe	reif
ritual	Ritual
river	Fluss
rivet	Niet
road	Straße
rob	rauben
robin	Rotkehlchen
rock	Fels
rock	Felsbrocken
rock	Rock
rock	schwanken
rock	schaukeln
rock dove	Felsentaube
rocket	Rakete
rodent	Nagetier
roe	Reh
roe deer	Reh
roentgenium	Roentgenium
roll	rollen
roll	aufrollen
roof	Dach
rook	Turm
rook	Saatkrähe
room	Raum
rooster	Hahn
root	Wurzel
root	Quelle
rope	Seil
rose	Rose
rose	rosa
rosemary	Rosmarin
rot	verrotten
rotten	faul
rough	rauh
round	rund
row	Reihe
row	Zeile
row	rudern
royal	königlich
rub	reiben
rubidium	Rubidium
ruble	Rubel
rude	grob
rue	Raute
ruin	Ruine
rule	Regel
rule	regieren
ruler	Lineal
rum	Rum
ruminant	Wiederkäuer
run	rennen
run/experiment	rennen
rust	Rost
rutabaga	schwedische Rübe
ruthenium	Ruthenium
rutile	Rutil
rye	Roggen
röntgen	Röntgen
sable	schwarz
sable	Zobel
sabotage	Sabotage
sabre	Säbel
sack	Sack
sacrifice	Opfer
sacrifice	opfern
sad	traurig
saddle	Sattel
safe	Tresor
safety	Sicherheit
sail	Segel
sail	segeln
sailing	Segeln
sailor	Matrose
salad	Salat
salary	Gehalt
sale	Verkauf
salesman	Verkäufer
salesperson	Verkäufer
saliva	Speichel
salmon	Lachs
salt	Salz
salt	salzen
salty	salzig
same	derselbe
sample	Probe
samurai	Samurai
sand	Sand
sandalwood	Sandelholz
sandpaper	Schmirgelpapier
sandwich	belegtes Brot
sapphire	Saphir
sarcasm	Sarkasmus
sarcophagus	Sarkophag
satellite	Satellit
sauce	Soße
sausage	Wurst
sausage	Würstchen
save	retten
save	sichern
save	speichern
saw	Säge
saw	sägen
saxophone	Saxophon
saying	Sprichwort
scabbard	Scheide
scabies	Krätze
scaffolding	Gerüstbau
scale	Waage
scale	Maßstab
scale	Schuppe
scales	Waage
scallion	Lauchzwiebel
scallop	Jakobsmuschel
scandium	Skandium
scanner	Abtaster
scapegoat	Sündenbock
scar	Narbe
scarce	spärlich
scare	erschrecken
scarecrow	Vogelscheuche
scarf	Schal
scatter	zerstreuen
scene	Szene
scent	Geruch
schedule	Termin
scheme	Schema
school	Schule
school	Universität
school	unterrichten
science	Wissenschaft
science	Kenntnis
science	Wissen
scientist	Wissenschaftler
scissors	Schere
scold	beschimpfen
score	Spielergebnis
scorpion	Skorpion
scratch	kratzen
scream	schreien
screen	Schirm
screw	Schraube
screwdriver	Schraubenzieher
scrotum	Skrotum
sculpture	Skulptur
scythe	Sense
sea	Meer
sea horse	Seepferdchen
sea lion	Seelöwe
sea urchin	Seeigel
seagull	Möwe
seal	Robbe
seal	Siegel
seaplane	Wasserflugzeug
search	suchen
search	durchsuchen
search	Suche
search engine	Suchmaschine
season	Jahreszeit
season	würzen
seaweed	Algen
second	Sekunde
second	zweite
second	zweiter
second	zweite Wahl
second	Sekundant
secret	Geheimnis
secret	geheim
secretary	Sekretär
sect	Sekte
security	Sicherheit
see	sehen
seed	Same
seek	suchen
seeker	Sucher
seem	scheinen
seismic	seismisch
seize	ergreifen
seldom	selten
select	auswählen
selenium	Selen
self	Selbst
selfish	selbstsüchtig
sell	verkaufen
semelfactive	Semelfaktiv
semen	Samen
semiconductor	Halbleiter
send	senden
sense	Gefühl
sense	Sinn
sentence	Satz
sentence	Urteil
sentence	Strafe
sentence	verurteilen
sentence	Verurteilung
separate	separieren
separate	einzeln
serenade	Serenade
sergeant	Feldwebel
serious	ernst
serious	ernsthaft
serpent	Schlange
servant	Helfer
service	Dienst
service	Instandhaltung
session	Sitzung
set	Menge
set	setzen
set	Set
set	untergehen
set on fire	anzünden
set theory	Mengenlehre
seven	sieben
seven deadly sins	sieben Todsünden
seven hundred and fifty	Siebenhundertfünfzig
seventeen	siebzehn
seventh	siebente
seventy	siebzig
seventy-five	fünfundsiebzig
seventy-four	vierundsiebzig
seventy-nine	neunundsiebzig
seventy-one	einundsiebzig
seventy-seven	siebenundsiebzig
seventy-six	sechsundsiebzig
seventy-three	dreiundsiebzig
seventy-two	zweiundsiebzig
several	verschiedene
sew	nähen
sewing machine	Nähmaschine
sex	Geschlecht
sex	Sex
sexology	Sexualwissenschaft
sexual	sexuell
sexual harassment	sexuelle Belästigung
sexual intercourse	Geschlechtsverkehr
sexual orientation	Sexuelle Orientierung
sexy	sexy
shackles	Handschellen
shade	Schatten
shadow	Schatten
shahada	Schahada
shallow	seicht
shame	Scham
shame	Schande
shampoo	Shampoo
shape	Form
share	Anteil
share	Aktie
shark	Hai
sharp	scharf
shave	rasieren
she	sie
sheath	Scheide
sheep	Schaf
sheepdog	Schäferhund
sheet	Laken
sheet	Blatt
shelf	Brett
shepherd	Hirt
shh	still
shield	Schutz
shield	Schild
shield	beschützen
shin	Schienbein
shinbone	Schienbein
shine	leuchten
ship	Schiff
shirt	Hemd
shit	Scheiße
shit	Scheiss
shit	(''man'') Scheißkerl
shit	scheißen
shit	Durchfall
shock	Schock
shoddy	minderwertig
shoe	Schuh
shoe	Hufeisen
shoe polish	Schuhcreme
shoot	schießen
shoot	(''not killing'') anschießen
shop	Laden
shop	einkaufen
shore	Ufer
shot	Schuss
shotgun	Flinte
shoulder	Schulter
shoulder	Haltebucht
shoulder blade	Schulterblatt
shout	schreien
shovel	Schaufel
show	zeigen
shower	Schauer
shower	Dusche
shower	duschen
shrew	Spitzmaus
shrimp	Garnele
shrine	Schrein
shut	schließen
shy	schüchtern
sibling	Geschwister
sick	krank
sickle	Sichel
side	Seite
sideburns	Koteletten
siege	Belagerung
siege	belagern
sieve	Sieb
sight	Sehvermögen
sight	Sehenswürdigkeit
sight	Visier
sight	sehen
sign	Zeichen
significance	Bedeutung
silence	Schweigen
silicon	Silizium
silk	Seide
silkworm	Seidenspinner
silver	Silber
silver	silbern
silversmith	Silberschmied
silverware	Tafelsilber
similar	ähnlich
simple	einfach
simultaneous	gleichzeitig
simultaneously	gleichzeitig
sin	Sünde
sin	sündigen
since	seit
since	weil
sincere	aufrichtig
sine	Sinus
sing	singen
singer	Sänger
singular	Einzahl
sink	sinken
sister	Schwester
sister-in-law	Schwägerin
sisters	Schwester
sit down	sich setzen
six	sechs
sixteen	sechzehn
sixth	sechste
sixty	sechzig
sixty-eight	achtundsechzig
sixty-five	fünfundsechzig
sixty-four	vierundsechzig
sixty-nine	neunundsechzig
sixty-one	einundsechzig
sixty-seven	siebenundsechzig
sixty-six	sechsundsechzig
sixty-three	dreiundsechzig
sixty-two	zweiundsechzig
skeleton	Skelett
ski	Ski
skill	Geschicklichkeit
skim	abprallen
skim	überfliegen
skin	Haut
skip	hüpfen
skirt	Rock
skull	Schädel
skunk	Stinktier
sky	Luft
skylark	Lerche
skyscraper	Wolkenkratzer
slander	Verleumdung
slang	Slang
slay	töten
sleep	Schlaf
sleep	schlafen
sleeve	Ärmel
slender	schlank
slide	gleiten
slight	geringfügig
sloop	Schaluppe
sloth	Faultier
sloth	Trägheit
slow	langsam
slowly	langsam
slug	Nacktschnecke
sly	schlau
small	klein
smell	riechen
smell	Geruch
smile	Lächeln
smile	lächeln
smoke	Rauch
smoke	rauchen
smoke	räuchern
smooth	glatt
snail	Schnecke
snake	Schlange
snake	winden
snare drum	kleine Trommel
sneeze	niesen
sneeze	Niesen
snob	Snob
snot	Rotz
snow	Schnee
snow	schneien
snow	Schneefall
snow leopard	Schneeleopard
snowball	Schneeball
snowflake	Schneeflocke
snowman	Schneemann
snowstorm	Schneesturm
soap	Seife
soccer	Fußball
socialism	Sozialismus
society	Gesellschaft
sock	Socke
soda	Limonade
sodium	Natrium
sofa	Sofa
soft	weich
soft drink	Limonade
software	Software
soil	Boden
solar system	Sonnensystem
soldier	Soldat
sole	Fußsohle
solid	fest
solid	Festkörper
solid	solide
solitude	Einsamkeit
solution	Lösung
some	einige
somebody	jemand
someone	jemand
something	etwas
sometimes	manchmal
somewhere	irgendwo
somnambulism	Schlafwandeln
son of a bitch	Hurensohn
son of a whore	Hurensohn
son-in-law	Schwiegersohn
sonata form	Sonatensatzform
song	Lied
sonnet	Sonett
soon	bald
sorghum	Sorghum
sorrow	Kummer
sorry	entschuldigen Sie bitte
sorry	wie bitte
sorry	es tut mir Leid
sort	Art
sort	sortieren
sort	trennen
soul	Seele
soul	Soul
sound	klingen
soup	Suppe
sour	sauer
source code	Quelltext
south	Süden
south	südlich
southern	südlich
sovereign	souverän
sow	säen
space	Raum
space	Weltraum
space	Leerzeichen
spacecraft	Raumfahrzeug
spaceship	Raumschiff
spade	Spaten
spade	Pik
spades	Pik
spaghetti	Spaghetti
spam	Spam
spark	Funke
spark plug	Zündkerze
sparrow	Sperling
sparrow hawk	Sperber
speak	sprechen
speaker	Lautsprecher
speaker	Sprecher
special	speziell
speciality	Spezialität
specialty	Spezialität
species	Art
specific	spezifisch
spectacles	Brille
speech	Rede
speech	Sprache
speed	Geschwindigkeit
speed	Schnelligkeit
speed of light	Lichtgeschwindigkeit
speed of sound	Schallgeschwindigkeit
spell	buchstabieren
spell	Zauberspruch
spend	ausgeben
sperm	Sperma
sperm whale	Pottwal
sphere	Kugel
sphere	Sphäre
spider	Spinne
spinach	Spinat
spinal cord	Rückenmark
spine	Rückgrat
spirit	Geist
spiritual	geistig
spit	spucken
spleen	Milz
splendid	glänzend
split	verteilen
spoilt	verdorben
sponge	Schwamm
spoon	Löffel
sport	Sport
spot	Fleck
spouse	Gatte
spring	Frühling
spring	Quelle
spring	Sprungfeder
spring	springen
spring	entspringen
spruce	Fichte
spy	Spion
spy	ausspionieren
square	Quadrat
square	Platz
square root	Quadratwurzel
squid	Kalmar
squirrel	Eichhörnchen
stable	stabil
stag-beetle	Hirschkäfer
stage	Bühne
stair	Treppe
stairs	Treppe
stake	Pfahl
stalemate	Patt
stalk	Stiel
stallion	Hengst
stand	stehen
stand	aufstehen
stand	bestehen
stanza	Strophe
star	Stern
star	Prominenter
starfish	Seestern
starling	Star
start	der Beginn
starvation	Verhungern
state	Zustand
state	Staat
statement	Behauptung
station	Station
statistics	Statistik
statue	Statue
stay	sich aufhalten
steak	Lendenschnitte
steal	stehlen
steam engine	Dampfmaschine
steel	Stahl
steel	stählern
steer	Ochse
steering wheel	Lenkrad
stem cell	Stammzelle
step	Schritt
step	treten
stepbrother	Stiefbruder
stepdaughter	Stieftochter
stepfather	Stiefvater
stepmother	Stiefmutter
stepson	Stiefsohn
sterilize	sterilisieren
stern	Heck
stern	streng
stevia	Stevia, Süßkraut, Süßblatt, Honigkraut
stick	Stab
stick	Stock
stick	kleben
still	noch
stillbirth	Totgeburt
stillborn	totgeboren
stink	Gestank
stir up	entfachen
stirrup	Steigbügel
stock	Vorrat
stocking	Strumpf
stomach	Magen
stomach	Bauch
stone	Stein
stone	steinigen
stone	steinern
stop	anhalten
stop	aufhören
stop	stoppen
stop	Haltestelle
stork	Storch
story	Erzählung
story	Stockwerk
stove	Herd
stove	Ofen
straight	gerade
strait	Straße
strange	fremd
straw	Stroh
strawberry	Erdbeere
stream	Bach
street	Straße
strength	Stärke
stress	Spannung
stretch	strecken
strew	streuen
strict	streng
strife	Streit
strike	Streik
string	Schnur
strive	streben
strong	stark
strontium	Strontium
struggle	Kampf
stubborn	stur
student	Student
study	studieren
stuff	Material
stupid	dumm
sturgeon	Stör
stutter	stottern
style	Stil
subject	Thema
subject	Subjekt
subject	Fach
subject	Untertan
subjunctive	Konjunktiv
subliminal message	unterschwellige Werbung
submarine	Unterseeboot
subscribe	abonnieren
subsequent	folgend
subset	Untermenge
substance	Substanz
substantial	wesentlich
substitute	ersetzen
subtract	subtrahieren
subtropics	Subtropen
subway	U-Bahn
suck	saugen
sucrose	Saccharose
sudden	plötzlich
suddenly	plötzlich
suffer	leiden
sufficient	genügend
sugar	Zucker
sugar beet	Zuckerrübe
sugar cane	Zuckerrohr
suggest	vorschlagen
suicide	Freitod
suicide	Suizident
suit	Anzug
suitcase	Koffer
sulfur	Schwefel
sultan	Sultan
sum	Summe
summary	Zusammenfassung
summer	Sommer
sunflower	Sonnenblume
sunglasses	Sonnenbrille
sunrise	Sonnenaufgang
sunset	Sonnenuntergang
super	super
superfluous	überflüssig
superior	höher
superlative	Superlativ
supernatural	übernatürlich
superstition	Aberglaube
supper	Abendessen
supper	Nachtessen
suppose	vermuten
